"","Date","Cases","Diffs","day"
"1",2020-05-01,4496,6,1
"2",2020-05-02,4506,10,2
"3",2020-05-03,4512,6,3
"4",2020-05-04,4521,9,4
"5",2020-05-05,4526,5,5
"6",2020-05-06,4528,2,6
"7",2020-05-07,4531,3,7
"8",2020-05-08,4538,7,8
"9",2020-05-09,4542,4,9
"10",2020-05-10,4546,4,10
"11",2020-05-11,4553,7,11
"12",2020-05-12,4556,3,12
"13",2020-05-13,4559,3,13
"14",2020-05-14,4561,2,14
"15",2020-05-15,4571,10,15
"16",2020-05-16,4573,2,16
"17",2020-05-17,4580,7,17
"18",2020-05-18,4582,2,18
"19",2020-05-19,4586,4,19
"20",2020-05-20,4587,1,20
"21",2020-05-21,4590,3,21
"22",2020-05-22,4592,2,22
"23",2020-05-23,4597,5,23
"24",2020-05-24,4597,0,24
"25",2020-05-25,4598,1,25
"26",2020-05-26,4599,1,26
"27",2020-05-27,4601,2,27
"28",2020-05-28,4605,4,28
"29",2020-05-29,4607,2,29
"30",2020-05-30,4608,1,30
"31",2020-05-31,4609,1,31
"32",2020-06-01,4611,2,32
"33",2020-06-02,4612,1,33
"34",2020-06-03,4612,0,34
"35",2020-06-04,4613,1,35
"36",2020-06-05,4618,5,36
"37",2020-06-06,4621,3,37
"38",2020-06-07,4623,2,38
"39",2020-06-08,4626,3,39
"40",2020-06-09,4626,0,40
"41",2020-06-10,4629,3,41
"42",2020-06-11,4631,2,42
"43",2020-06-12,4631,0,43
"44",2020-06-13,4632,1,44
"45",2020-06-14,4635,3,45
"46",2020-06-15,4637,2,46
"47",2020-06-16,4638,1,47
"48",2020-06-17,4641,3,48
"49",2020-06-18,4642,1,49
"50",2020-06-19,4643,1,50
"51",2020-06-20,4644,1,51
"52",2020-06-21,4645,1,52
"53",2020-06-22,4648,3,53
"54",2020-06-23,4648,0,54
"55",2020-06-24,4654,6,55
"56",2020-06-25,4658,4,56
"57",2020-06-26,4659,1,57
"58",2020-06-27,4660,1,58
"59",2020-06-28,4660,0,59
"60",2020-06-29,4665,5,60
"61",2020-06-30,4667,2,61
"62",2020-07-01,4667,0,62
