Date,Cases
01-03-2020,8
02-03-2020,8
03-03-2020,9
04-03-2020,12
05-03-2020,13
06-03-2020,21
07-03-2020,21
08-03-2020,27
09-03-2020,32
10-03-2020,32
11-03-2020,39
12-03-2020,46
13-03-2020,64
14-03-2020,73
15-03-2020,95
16-03-2020,133
17-03-2020,186
18-03-2020,231
19-03-2020,271
20-03-2020,348
21-03-2020,424
22-03-2020,472
23-03-2020,539
24-03-2020,617
25-03-2020,659
26-03-2020,725
27-03-2020,792
28-03-2020,884
29-03-2020,900
30-03-2020,970
31-03-2020,1013
01-04-2020,1066
02-04-2020,1121
03-04-2020,1174
04-04-2020,1203
05-04-2020,1229
06-04-2020,1266
07-04-2020,1291
08-04-2020,1336
09-04-2020,1370
10-04-2020,1410
11-04-2020,1445
12-04-2020,1470
13-04-2020,1490
14-04-2020,1517
15-04-2020,1561
16-04-2020,1575
17-04-2020,1618
18-04-2020,1647
19-04-2020,1676
20-04-2020,1699
21-04-2020,1724
22-04-2020,1795
